127.0.0.1 - - [29/Aug/2023:09:30:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:31:05 +0900] "GET /web/shop/login.html HTTP/1.1" 200 1744
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:31:05 +0900] "GET /web/shop/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:31:05 +0900] "GET /web/shop/join.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:31:05 +0900] "GET /web/shop/img/bg.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:31:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:31:18 +0900] "GET /web/shop/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:31:18 +0900] "GET /web/shop/join.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:31:18 +0900] "GET /web/shop/img/bg.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:31:46 +0900] "GET /web/shop/signin.html HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:32:39 +0900] "GET /web/shop/join.html HTTP/1.1" 200 2668
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:32:40 +0900] "GET /web/shop/img/bg.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:32:41 +0900] "GET /web/shop/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:32:43 +0900] "GET /web/shop/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:32:44 +0900] "GET /web/shop/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:33:38 +0900] "GET /web/shop/login.html HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:33:39 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:33:39 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:33:39 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:33:45 +0900] "GET /web/shop/join.html HTTP/1.1" 200 2530
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:33:46 +0900] "GET /web/shop/img/bg.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:33:47 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:33:48 +0900] "GET /web/shop/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:33:49 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:33:51 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:33:53 +0900] "GET /web/shop/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:33:54 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:33:55 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:33:56 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:35:49 +0900] "GET /web/shop/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:35:49 +0900] "GET /web/shop/img/bg.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:35:50 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:40:37 +0900] "GET /web/shop/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:40:37 +0900] "GET /web/shop/img/bg.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:40:39 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:42:16 +0900] "GET /web/shop/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:42:16 +0900] "GET /web/shop/img/bg.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:42:17 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:09:42:34 +0900] "GET /web/shop/img/bg.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/Aug/2023:11:53:35 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:11:53:35 +0900] "GET /web/shop/join.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:11:53:35 +0900] "GET /web/shop/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:11:53:35 +0900] "GET /web/shop/img/bg.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/Aug/2023:11:53:35 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:11:53:36 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:11:53:36 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:11:53:36 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:11:53:37 +0900] "GET /web/shop/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:11:53:37 +0900] "GET /web/shop/join.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:11:53:37 +0900] "GET /web/shop/img/bg.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:11:50 +0900] "GET /web/shop/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:11:50 +0900] "GET /web/shop/img/bg.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:32:06 +0900] "GET /web/shop/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:32:06 +0900] "GET /web/shop/img/bg.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:32:06 +0900] "GET /web/shop/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:32:06 +0900] "GET /web/shop/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:32:07 +0900] "GET /web/shop/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:33:25 +0900] "GET /web/shop/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:33:26 +0900] "GET /web/shop/login.html HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:33:26 +0900] "GET /web/shop/img/bg.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:33:27 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:35:47 +0900] "GET /web/shop/login.html HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:36:23 +0900] "GET /web/shop/login.html HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:36:23 +0900] "GET /web/shop/join.js?v=1 HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:38:24 +0900] "GET /web/shop/login.html HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:38:24 +0900] "GET /web/shop/join.js?v=1 HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:38:52 +0900] "GET /web/shop/login.html HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:38:52 +0900] "GET /web/shop/join.js?v=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:38:55 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:38:55 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:38:56 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:38:56 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:38:56 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:39:23 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:39:23 +0900] "GET /web/shop/join.js?v=1 HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:41:04 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:41:04 +0900] "GET /web/shop/join.js?v=1 HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:41:05 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:41:05 +0900] "GET /web/shop/join.js?v=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:41:05 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:41:05 +0900] "GET /web/shop/join.js?v=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:42:52 +0900] "GET /web/shop/login.html HTTP/1.1" 200 1732
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:42:52 +0900] "GET /web/shop/join.js?v=1 HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:43:56 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:43:56 +0900] "GET /web/shop/join.js?v=1 HTTP/1.1" 200 1945
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:43:56 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:43:57 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:44:07 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:44:07 +0900] "GET /web/shop/join.js?v=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:47:24 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:47:24 +0900] "GET /web/shop/join.js?v=1 HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:47:25 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:47:25 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:47:25 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:48:14 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:48:14 +0900] "GET /web/shop/join.js?v=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:49:30 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:49:30 +0900] "GET /web/shop/join.js?v=1 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:49:35 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:49:35 +0900] "GET /web/shop/join.js?v=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:49:35 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:49:36 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:49:36 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:49:36 +0900] "GET /web/shop/join.js?v=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:49:36 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:49:56 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:49:56 +0900] "GET /web/shop/join.js?v=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:49:57 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:49:57 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:49:57 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:51:36 +0900] "GET /web/shop/login.html HTTP/1.1" 200 1727
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:51:36 +0900] "GET /web/shop/join.js?v=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:51:42 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:12:51:42 +0900] "GET /web/shop/login.html HTTP/1.1" 304 -
